row_type,Name,Identifier,Description,Start Date,Target Date,Network,Cycle View,Module View,Issue Views View,Page View,Intake View,Is Time Tracking Enabled,Is Issue Type Enabled,Guest View All Features,Epic Enabled,State Templates,Label Templates,Task Custom Properties,External Key,Description Html,State,Priority,Is Draft,Parent External Key,Issue Type,Labels,Assignee Emails,Custom Properties
project,Jakość i laboratorium,QA,"Kontrola jakości mleka, badania laboratoryjne i audyty HACCP.",2026-02-01,2026-09-30,0,True,False,True,True,False,False,True,False,False,"[{""name"": ""Do badania"", ""group"": ""backlog"", ""color"": ""#60646C"", ""default"": true}, {""name"": ""W labie"", ""group"": ""started"", ""color"": ""#8B5CF6""}, {""name"": ""Wynik OK"", ""group"": ""completed"", ""color"": ""#46A758""}, {""name"": ""Niezgodność"", ""group"": ""cancelled"", ""color"": ""#EF4444""}]","[{""name"": ""HACCP"", ""color"": ""#B45309""}, {""name"": ""Mikrobiologia"", ""color"": ""#059669""}, {""name"": ""Chemia"", ""color"": ""#2563EB""}, {""name"": ""Audyt"", ""color"": ""#7C3AED""}]","[{""title"": ""Numer próby"", ""property_type"": ""text"", ""is_mandatory"": true, ""is_active"": true}, {""title"": ""Wynik"", ""property_type"": ""dropdown"", ""options"": [""Pozytywny"", ""Negatywny"", ""Do powtórzenia""], ""select_mode"": ""single"", ""is_mandatory"": false, ""is_active"": true}]",,,,,,,,,,
work_item,Badanie liczby bakterii w mleku surowym #1,,,,,,,,,,,,,,,,,,QA-001,<p>Zadanie laboratorium: Badanie liczby bakterii w mleku surowym. Numer próby LAB-2026-0001. Linia produkcyjna 2.</p>,W labie,high,False,,,"[""HACCP""]",[],"{""Numer próby"": ""LAB-2026-0001"", ""Wynik"": ""Negatywny""}"
work_item,Oznaczenie tłuszczu w partii #2,,,2026-02-15,,,,,,,,,,,,,,,QA-002,<p>Zadanie laboratorium: Oznaczenie tłuszczu w partii. Numer próby LAB-2026-0002. Linia produkcyjna 3.</p>,Wynik OK,medium,False,,,"[""Mikrobiologia""]",[],"{""Numer próby"": ""LAB-2026-0002"", ""Wynik"": ""Do powtórzenia""}"
work_item,Test antybiotyków — próbka zbiorcza #3,,,,2026-08-31,,,,,,,,,,,,,,QA-003,<p>Zadanie laboratorium: Test antybiotyków — próbka zbiorcza. Numer próby LAB-2026-0003. Linia produkcyjna 1.</p>,Niezgodność,low,False,,,"[""Chemia""]",[],"{""Numer próby"": ""LAB-2026-0003"", ""Wynik"": ""Pozytywny""}"
work_item,Audyt dokumentacji HACCP #4,,,2026-02-15,,,,,,,,,,,,,,,QA-004,<p>Zadanie laboratorium: Audyt dokumentacji HACCP. Numer próby LAB-2026-0004. Linia produkcyjna 2.</p>,Do badania,none,False,,,"[""Audyt""]","[""lab@example.com""]","{""Numer próby"": ""LAB-2026-0004"", ""Wynik"": ""Negatywny""}"
work_item,Kontrola pH jogurtu naturalnego #5,,,,,,,,,,,,,,,,,,QA-005,<p>Zadanie laboratorium: Kontrola pH jogurtu naturalnego. Numer próby LAB-2026-0005. Linia produkcyjna 3.</p>,W labie,urgent,False,,,"[""HACCP""]",[],"{""Numer próby"": ""LAB-2026-0005"", ""Wynik"": ""Do powtórzenia""}"
work_item,Powtórne badanie po niezgodności #6,,,2026-02-15,2026-08-31,,,,,,,,,,,,,,QA-006,<p>Zadanie laboratorium: Powtórne badanie po niezgodności. Numer próby LAB-2026-0006. Linia produkcyjna 1.</p>,Wynik OK,high,False,,,"[""Mikrobiologia""]",[],"{""Numer próby"": ""LAB-2026-0006"", ""Wynik"": ""Pozytywny""}"
work_item,Walidacja metody mikrobiologicznej #7,,,,,,,,,,,,,,,,,,QA-007,<p>Zadanie laboratorium: Walidacja metody mikrobiologicznej. Numer próby LAB-2026-0007. Linia produkcyjna 2.</p>,Niezgodność,medium,False,,,"[""Chemia""]",[],"{""Numer próby"": ""LAB-2026-0007"", ""Wynik"": ""Negatywny""}"
work_item,Pobór próby z linii UHT #8,,,2026-02-15,,,,,,,,,,,,,,,QA-008,<p>Zadanie laboratorium: Pobór próby z linii UHT. Numer próby LAB-2026-0008. Linia produkcyjna 3.</p>,Do badania,low,False,,,"[""Audyt""]","[""lab@example.com""]","{""Numer próby"": ""LAB-2026-0008"", ""Wynik"": ""Do powtórzenia""}"
work_item,Analiza pozostałości pestycydów #9,,,,2026-08-31,,,,,,,,,,,,,,QA-009,<p>Zadanie laboratorium: Analiza pozostałości pestycydów. Numer próby LAB-2026-0009. Linia produkcyjna 1.</p>,W labie,none,False,,,"[""HACCP""]",[],"{""Numer próby"": ""LAB-2026-0009"", ""Wynik"": ""Pozytywny""}"
