row_type,Name,Identifier,Description,Start Date,Target Date,Network,Cycle View,Module View,Issue Views View,Page View,Intake View,Is Time Tracking Enabled,Is Issue Type Enabled,Guest View All Features,Epic Enabled,State Templates,Label Templates,Task Custom Properties,Epic Custom Properties,Additional Work Item Types,External Key,Description Html,State,Priority,Is Draft,Parent External Key,Issue Type,Labels,Assignee Emails,Custom Properties
project,Gospodarstwo rolne — sezon 2026,GOSP,"Planowanie prac polowych, obsługa maszyn, produkcja zwierzęca i magazyn pasz w gospodarstwie mleczno-roślinnym.",2026-01-01,2026-12-31,2,True,True,True,True,True,True,True,False,True,"[{""name"": ""Do zrobienia"", ""group"": ""backlog"", ""color"": ""#60646C"", ""default"": true}, {""name"": ""Zaplanowane"", ""group"": ""unstarted"", ""color"": ""#3B82F6""}, {""name"": ""W toku"", ""group"": ""started"", ""color"": ""#F59E0B""}, {""name"": ""Oczekuje"", ""group"": ""started"", ""color"": ""#8B5CF6""}, {""name"": ""Zakończone"", ""group"": ""completed"", ""color"": ""#46A758""}, {""name"": ""Anulowane"", ""group"": ""cancelled"", ""color"": ""#EF4444""}]","[{""name"": ""Pola"", ""color"": ""#16A34A""}, {""name"": ""Maszyny"", ""color"": ""#CA8A04""}, {""name"": ""Obora"", ""color"": ""#0EA5E9""}, {""name"": ""Pasze"", ""color"": ""#854D0E""}, {""name"": ""Nawozy"", ""color"": ""#65A30D""}, {""name"": ""Pilne"", ""color"": ""#DC2626""}]","[{""title"": ""Pole / sektor"", ""property_type"": ""dropdown"", ""options"": [""A1"", ""A2"", ""B1"", ""B2"", ""C1"", ""Łąka N"", ""Obora""], ""select_mode"": ""single"", ""is_mandatory"": true, ""is_active"": true}, {""title"": ""Godziny pracy"", ""property_type"": ""number"", ""is_mandatory"": false, ""is_active"": true}, {""title"": ""Pogoda OK"", ""property_type"": ""boolean"", ""is_mandatory"": false, ""is_active"": true}]","[{""title"": ""Obszar gospodarstwa"", ""property_type"": ""dropdown"", ""options"": [""Uprawa"", ""Hodowla"", ""Technika"", ""Magazyn""], ""select_mode"": ""single"", ""is_mandatory"": true, ""is_active"": true}]","[{""name"": ""Awaria"", ""description"": ""Awaria maszyny lub infrastruktury gospodarstwa"", ""custom_properties"": [{""title"": ""Wpływ na produkcję"", ""property_type"": ""dropdown"", ""options"": [""Niski"", ""Średni"", ""Wysoki""], ""select_mode"": ""single"", ""is_mandatory"": true, ""is_active"": true}]}]",,,,,,,,,,
work_item,Siew zbóż jarych,,,2026-02-01,2026-11-30,,,,,,,,,,,,,,,,EPIK-SIEW,<p>Epik gospodarstwa: Siew zbóż jarych. Obszar: Uprawa.</p>,W toku,high,False,,Epic,"[""Pola""]","[""agronom@example.com""]","{""Obszar gospodarstwa"": ""Uprawa""}"
work_item,Nawożenie wiosenne,,,2026-02-01,2026-11-30,,,,,,,,,,,,,,,,EPIK-NAWOZ,<p>Epik gospodarstwa: Nawożenie wiosenne. Obszar: Uprawa.</p>,W toku,high,False,,Epic,"[""Nawozy""]",[],"{""Obszar gospodarstwa"": ""Uprawa""}"
work_item,Żniwa i zbiór kukurydzy,,,2026-02-01,2026-11-30,,,,,,,,,,,,,,,,EPIK-ZBIORY,<p>Epik gospodarstwa: Żniwa i zbiór kukurydzy. Obszar: Uprawa.</p>,W toku,high,False,,Epic,"[""Pola""]",[],"{""Obszar gospodarstwa"": ""Uprawa""}"
work_item,Sezon w oborze,,,2026-02-01,2026-11-30,,,,,,,,,,,,,,,,EPIK-OBORA,<p>Epik gospodarstwa: Sezon w oborze. Obszar: Hodowla.</p>,W toku,high,False,,Epic,"[""Obora""]",[],"{""Obszar gospodarstwa"": ""Hodowla""}"
work_item,Przeglądy parku maszyn,,,2026-02-01,2026-11-30,,,,,,,,,,,,,,,,EPIK-MASZYNY,<p>Epik gospodarstwa: Przeglądy parku maszyn. Obszar: Technika.</p>,W toku,high,False,,Epic,"[""Maszyny"", ""Pilne""]",[],"{""Obszar gospodarstwa"": ""Technika""}"
work_item,Zapasy pasz i kiszonki,,,2026-02-01,2026-11-30,,,,,,,,,,,,,,,,EPIK-PASZE,<p>Epik gospodarstwa: Zapasy pasz i kiszonki. Obszar: Magazyn.</p>,W toku,high,False,,Epic,"[""Pasze""]",[],"{""Obszar gospodarstwa"": ""Magazyn""}"
work_item,Orka pola #1,,,,,,,,,,,,,,,,,,,,GOSP-001,<p>Zadanie gospodarstwa: Orka pola. Sektor A2. Numer wewnętrzny GR-2026-0001.</p>,Zaplanowane,high,False,EPIK-SIEW,,"[""Pola""]",[],"{""Pole / sektor"": ""A2"", ""Godziny pracy"": 2, ""Pogoda OK"": true}"
work_item,Siew pszenicy #2,,,2026-03-01,,,,,,,,,,,,,,,,,GOSP-002,<p>Zadanie gospodarstwa: Siew pszenicy. Sektor B1. Numer wewnętrzny GR-2026-0002.</p>,W toku,medium,False,EPIK-NAWOZ,,"[""Pola""]",[],"{""Pole / sektor"": ""B1"", ""Godziny pracy"": 3, ""Pogoda OK"": false}"
work_item,Oprysk fungicydem #3,,,,,,,,,,,,,,,,,,,,GOSP-003,<p>Zadanie gospodarstwa: Oprysk fungicydem. Sektor B2. Numer wewnętrzny GR-2026-0003.</p>,Oczekuje,low,False,EPIK-ZBIORY,,"[""Pola""]","[""pola@example.com""]","{""Pole / sektor"": ""B2"", ""Godziny pracy"": 4, ""Pogoda OK"": true}"
work_item,Rozsiew nawozu #4,,,2026-03-01,2026-09-30,,,,,,,,,,,,,,,,GOSP-004,<p>Zadanie gospodarstwa: Rozsiew nawozu. Sektor C1. Numer wewnętrzny GR-2026-0004.</p>,Zakończone,none,False,EPIK-OBORA,,"[""Nawozy""]",[],"{""Pole / sektor"": ""C1"", ""Godziny pracy"": 5, ""Pogoda OK"": false}"
work_item,Koszenie łąki #5,,,,,,,,,,,,,,,,,,,,GOSP-005,<p>Zadanie gospodarstwa: Koszenie łąki. Sektor Łąka N. Numer wewnętrzny GR-2026-0005.</p>,Anulowane,urgent,False,EPIK-MASZYNY,,"[""Pola""]",[],"{""Pole / sektor"": ""Łąka N"", ""Godziny pracy"": 6, ""Pogoda OK"": true}"
