row_type,Name,Identifier,Description,Start Date,Target Date,Network,Cycle View,Module View,Issue Views View,Page View,Intake View,Is Time Tracking Enabled,Is Issue Type Enabled,Guest View All Features,Epic Enabled,State Templates,Label Templates,Task Custom Properties,Epic Custom Properties,Additional Work Item Types,External Key,Description Html,State,Priority,Is Draft,Parent External Key,Issue Type,Labels,Assignee Emails,Custom Properties
project,Logistyka mleczarni,LOG,"Transport surowca, trasy dystrybucji i magazyn chłodniczy.",2026-01-15,2026-11-30,2,True,True,True,True,True,True,True,False,True,"[{""name"": ""Zgłoszenie"", ""group"": ""backlog"", ""color"": ""#60646C"", ""default"": true}, {""name"": ""Planowanie"", ""group"": ""unstarted"", ""color"": ""#3B82F6""}, {""name"": ""W trasie"", ""group"": ""started"", ""color"": ""#F59E0B""}, {""name"": ""Dostarczone"", ""group"": ""completed"", ""color"": ""#46A758""}, {""name"": ""Anulowane"", ""group"": ""cancelled"", ""color"": ""#EF4444""}]","[{""name"": ""Chłodnia"", ""color"": ""#0EA5E9""}, {""name"": ""Transport"", ""color"": ""#F97316""}, {""name"": ""Magazyn"", ""color"": ""#84CC16""}, {""name"": ""Pilne"", ""color"": ""#DC2626""}]","[{""title"": ""Numer trasy"", ""property_type"": ""text"", ""is_mandatory"": false, ""is_active"": true}, {""title"": ""Temperatura (C)"", ""property_type"": ""number"", ""is_mandatory"": false, ""is_active"": true}, {""title"": ""Priorytet dostawy"", ""property_type"": ""dropdown"", ""options"": [""Standard"", ""Express"", ""Krytyczny""], ""select_mode"": ""single"", ""is_mandatory"": true, ""is_active"": true}]","[{""title"": ""Region"", ""property_type"": ""dropdown"", ""options"": [""Północ"", ""Południe"", ""Wschód"", ""Zachód""], ""select_mode"": ""single"", ""is_mandatory"": false, ""is_active"": true}]","[{""name"": ""Incydent"", ""description"": ""Zdarzenie logistyczne (opóźnienie, uszkodzenie)"", ""custom_properties"": [{""title"": ""Kategoria"", ""property_type"": ""dropdown"", ""options"": [""Opóźnienie"", ""Uszkodzenie"", ""Brak towaru""], ""select_mode"": ""single"", ""is_mandatory"": true, ""is_active"": true}]}]",,,,,,,,,,
work_item,Stabilizacja łańcucha chłodniczego,,,2026-02-01,2026-09-30,,,,,,,,,,,,,,,,EPIK-CHLODNIA,<p>Epik logistyki mleczarni: Stabilizacja łańcucha chłodniczego. Region: Północ.</p>,W trasie,high,False,,Epic,"[""Chłodnia""]",[],"{""Region"": ""Północ""}"
work_item,Optymalizacja tras odbioru mleka,,,2026-02-01,2026-09-30,,,,,,,,,,,,,,,,EPIK-TRASY,<p>Epik logistyki mleczarni: Optymalizacja tras odbioru mleka. Region: Południe.</p>,W trasie,high,False,,Epic,"[""Transport"", ""Pilne""]","[""logistyka@example.com""]","{""Region"": ""Południe""}"
work_item,Rotacja zapasów w magazynie,,,2026-02-01,2026-09-30,,,,,,,,,,,,,,,,EPIK-MAGAZYN,<p>Epik logistyki mleczarni: Rotacja zapasów w magazynie. Region: Wschód.</p>,W trasie,high,False,,Epic,"[""Magazyn""]",[],"{""Region"": ""Wschód""}"
work_item,Dystrybucja do sklepów regionalnych,,,2026-02-01,2026-09-30,,,,,,,,,,,,,,,,EPIK-DYST,<p>Epik logistyki mleczarni: Dystrybucja do sklepów regionalnych. Region: Zachód.</p>,W trasie,high,False,,Epic,"[""Transport"", ""Pilne""]",[],"{""Region"": ""Zachód""}"
work_item,Odbiór mleka od dostawcy #1,,,,,,,,,,,,,,,,,,,,LOG-001,"<p>Zadanie logistyki mleczarni: Odbiór mleka od dostawcy. Trasa TR-07, temperatura docelowa 3°C.</p>",Planowanie,high,False,EPIK-CHLODNIA,,"[""Transport""]",[],"{""Numer trasy"": ""TR-07"", ""Temperatura (C)"": 3, ""Priorytet dostawy"": ""Express""}"
work_item,Awaria agregatu chłodniczego #2,,,2026-03-01,,,,,,,,,,,,,,,,,LOG-002,"<p>Zadanie logistyki mleczarni: Awaria agregatu chłodniczego. Trasa TR-12, temperatura docelowa 4°C.</p>",W trasie,medium,False,EPIK-TRASY,,"[""Chłodnia""]",[],"{""Numer trasy"": ""TR-12"", ""Temperatura (C)"": 4, ""Priorytet dostawy"": ""Krytyczny""}"
work_item,Przeładunek palet w hubie #3,,,,2026-06-30,,,,,,,,,,,,,,,,LOG-003,"<p>Zadanie logistyki mleczarni: Przeładunek palet w hubie. Trasa TR-22, temperatura docelowa 5°C.</p>",Dostarczone,low,False,EPIK-MAGAZYN,,"[""Magazyn""]","[""lab@example.com""]","{""Numer trasy"": ""TR-22"", ""Temperatura (C)"": 5, ""Priorytet dostawy"": ""Standard""}"
work_item,Kontrola temperatury w naczepie #4,,,2026-03-01,,,,,,,,,,,,,,,,,LOG-004,"<p>Zadanie logistyki mleczarni: Kontrola temperatury w naczepie. Trasa TR-30, temperatura docelowa 6°C.</p>",Anulowane,none,False,EPIK-DYST,Incydent,"[""Chłodnia""]",[],"{""Numer trasy"": ""TR-30"", ""Temperatura (C)"": 6, ""Priorytet dostawy"": ""Express"", ""Kategoria"": ""Uszkodzenie""}"
work_item,Opóźnienie na trasie odbioru #5,,,,,,,,,,,,,,,,,,,,LOG-005,"<p>Zadanie logistyki mleczarni: Opóźnienie na trasie odbioru. Trasa TR-01, temperatura docelowa 2°C.</p>",Zgłoszenie,urgent,False,EPIK-CHLODNIA,,"[""Transport"", ""Pilne""]",[],"{""Numer trasy"": ""TR-01"", ""Temperatura (C)"": 2, ""Priorytet dostawy"": ""Krytyczny""}"
