External Key,Name,Description Html,State,Priority,Start Date,Target Date,Is Draft,Parent External Key,Issue Type,Labels,Assignee Emails,Custom Properties
EPIK-ONBOARD,Onboarding sprzętowy Q1,<p>Epik obejmujący zgłoszenia z obszaru: Endpoint.</p>,W trakcie,high,2026-01-15,2026-06-30,False,,Epic,"[""Hardware""]","[""helpdesk.lead@example.com"", ""network.admin@example.com""]","{""Obszar IT"": ""Endpoint""}"
EPIK-NET,Stabilizacja sieci biurowej,<p>Epik obejmujący zgłoszenia z obszaru: Infra.</p>,W trakcie,high,2026-01-15,2026-06-30,False,,Epic,"[""Sieć""]",[],"{""Obszar IT"": ""Infra""}"
EPIK-ID,Uporządkowanie dostępów i haseł,<p>Epik obejmujący zgłoszenia z obszaru: Tożsamość.</p>,W trakcie,high,2026-01-15,2026-06-30,False,,Epic,"[""Dostęp""]",[],"{""Obszar IT"": ""Tożsamość""}"
EPIK-APPS,Standaryzacja aplikacji biurowych,<p>Epik obejmujący zgłoszenia z obszaru: Aplikacje.</p>,W trakcie,high,2026-01-15,2026-06-30,False,,Epic,"[""Software""]","[""onboarding@example.com""]","{""Obszar IT"": ""Aplikacje""}"
WI-001,Laptop nie startuje #1,<p>Zgłoszenie helpdesk: Laptop nie startuje. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0001.</p>,Nowe,high,,,False,EPIK-ONBOARD,Incydent,"[""Hardware"", ""Pilne""]",[],"{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1001"", ""Wpływ"": ""Zespół""}"
WI-002,Brak dostępu do VPN #2,<p>Zgłoszenie helpdesk: Brak dostępu do VPN. Lokalizacja: Remote. Numer sprawy wewnętrznej HD-0002.</p>,W kolejce,urgent,2026-02-01,,False,EPIK-NET,Incydent,"[""Dostęp"", ""Sieć""]",[],"{""Lokalizacja"": ""Remote"", ""Numer inwentarzowy"": ""IT-1002"", ""Wpływ"": ""Cała firma""}"
WI-003,Drukarka nie drukuje #3,<p>Zgłoszenie helpdesk: Drukarka nie drukuje. Lokalizacja: Biuro B. Numer sprawy wewnętrznej HD-0003.</p>,W trakcie,medium,,,False,EPIK-ID,Incydent,"[""Drukarka"", ""Hardware""]","[""nieistniejacy.user@example.com""]","{""Lokalizacja"": ""Biuro B"", ""Numer inwentarzowy"": ""IT-1003"", ""Czas rozwiązania (h)"": 4, ""Wpływ"": ""Jeden użytkownik""}"
WI-004,Reset hasła AD #4,<p>Zgłoszenie helpdesk: Reset hasła AD. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0004.</p>,Oczekuje na usera,low,2026-02-01,2026-03-15,False,EPIK-APPS,Task,"[""Dostęp"", ""Software""]",[],"{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1004""}"
WI-005,Instalacja pakietu Office #5,<p>Zgłoszenie helpdesk: Instalacja pakietu Office. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0005.</p>,Rozwiązane,medium,,,False,EPIK-ONBOARD,Zmiana,"[""Software""]",[],"{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1005""}"
WI-006,Nowy monitor na stanowisku #6,<p>Zgłoszenie helpdesk: Nowy monitor na stanowisku. Lokalizacja: Biuro B. Numer sprawy wewnętrznej HD-0006.</p>,Nowe,low,2026-02-01,,False,EPIK-NET,Zmiana,"[""Hardware""]","[""network.admin@example.com"", ""nieistniejacy.user@example.com""]","{""Lokalizacja"": ""Biuro B"", ""Numer inwentarzowy"": ""IT-1006"", ""Czas rozwiązania (h)"": 7}"
