row_type,Name,Identifier,Description,Start Date,Target Date,Network,Cycle View,Module View,Issue Views View,Page View,Intake View,Is Time Tracking Enabled,Is Issue Type Enabled,Guest View All Features,Epic Enabled,State Templates,Label Templates,Task Custom Properties,Epic Custom Properties,Additional Work Item Types,External Key,Description Html,State,Priority,Is Draft,Parent External Key,Issue Type,Labels,Assignee Emails,Custom Properties
project,Marketing produktów rolniczych,AGRO,"Kampanie promocyjne, materiały POS i komunikacja dla linii produktów rolniczych: nawozy, środki ochrony roślin i nasiona.",2026-03-01,2026-12-31,2,True,True,True,True,False,False,True,False,True,"[{""name"": ""Pomysł"", ""group"": ""backlog"", ""color"": ""#60646C"", ""default"": true}, {""name"": ""Brief"", ""group"": ""unstarted"", ""color"": ""#3B82F6""}, {""name"": ""W realizacji"", ""group"": ""started"", ""color"": ""#F59E0B""}, {""name"": ""Do akceptacji"", ""group"": ""started"", ""color"": ""#8B5CF6""}, {""name"": ""Opublikowane"", ""group"": ""completed"", ""color"": ""#46A758""}, {""name"": ""Wstrzymane"", ""group"": ""cancelled"", ""color"": ""#EF4444""}]","[{""name"": ""Nawozy"", ""color"": ""#16A34A""}, {""name"": ""Środki ochrony"", ""color"": ""#CA8A04""}, {""name"": ""Nasiona"", ""color"": ""#854D0E""}, {""name"": ""Social media"", ""color"": ""#2563EB""}, {""name"": ""Targi i eventy"", ""color"": ""#9333EA""}, {""name"": ""Materiały POS"", ""color"": ""#DC2626""}]","[{""title"": ""Kanał dystrybucji"", ""description"": ""Gdzie pojawi się materiał promocyjny"", ""property_type"": ""dropdown"", ""options"": [""Online"", ""Druk"", ""Event"", ""Dealer""], ""select_mode"": ""single"", ""is_mandatory"": false, ""is_active"": true}, {""title"": ""Budżet kampanii (PLN)"", ""property_type"": ""number"", ""is_mandatory"": false, ""is_active"": true}]","[{""title"": ""Sezon marketingowy"", ""property_type"": ""dropdown"", ""options"": [""Wiosna"", ""Lato"", ""Jesień"", ""Zima"", ""Całoroczny""], ""select_mode"": ""single"", ""is_mandatory"": true, ""is_active"": true}]","[{""name"": ""Kampania"", ""description"": ""Kampania marketingowa produktu rolnego (np. launch nawozu, sezon siewny)"", ""custom_properties"": []}]",,,,,,,,,,
work_item,Sezon wiosenny — nawozy,,,2026-03-01,2026-11-30,,,,,,,,,,,,,,,,EPIK-NAWOZY,<p>Epik marketingu agro: Sezon wiosenny — nawozy. Sezon: Wiosna.</p>,W realizacji,high,False,,Epic,"[""Nawozy"", ""Social media""]",[],"{""Sezon marketingowy"": ""Wiosna""}"
work_item,Kampania środków ochrony roślin,,,2026-03-01,2026-11-30,,,,,,,,,,,,,,,,EPIK-SOR,<p>Epik marketingu agro: Kampania środków ochrony roślin. Sezon: Lato.</p>,W realizacji,high,False,,Epic,"[""Środki ochrony""]",[],"{""Sezon marketingowy"": ""Lato""}"
work_item,Launch linii nasion,,,2026-03-01,2026-11-30,,,,,,,,,,,,,,,,EPIK-NASIONA,<p>Epik marketingu agro: Launch linii nasion. Sezon: Jesień.</p>,W realizacji,high,False,,Epic,"[""Nasiona""]",[],"{""Sezon marketingowy"": ""Jesień""}"
work_item,Targi rolnicze 2026,,,2026-03-01,2026-11-30,,,,,,,,,,,,,,,,EPIK-TARGI,<p>Epik marketingu agro: Targi rolnicze 2026. Sezon: Całoroczny.</p>,W realizacji,high,False,,Epic,"[""Targi i eventy""]","[""marketing.agro@example.com""]","{""Sezon marketingowy"": ""Całoroczny""}"
work_item,Kreacja banera produktowego #1,,,,,,,,,,,,,,,,,,,,AGRO-001,<p>Zadanie marketingu produktów rolniczych: Kreacja banera produktowego. Kanał: Online. Budżet orientacyjny 5000 PLN.</p>,Brief,high,False,EPIK-NAWOZY,,"[""Social media""]",[],"{""Kanał dystrybucji"": ""Online"", ""Budżet kampanii (PLN)"": 5000}"
work_item,Ulotka dla dealerów #2,,,2026-04-01,,,,,,,,,,,,,,,,,AGRO-002,<p>Zadanie marketingu produktów rolniczych: Ulotka dla dealerów. Kanał: Dealer. Budżet orientacyjny 7500 PLN.</p>,W realizacji,medium,False,EPIK-SOR,,"[""Materiały POS""]",[],"{""Kanał dystrybucji"": ""Dealer"", ""Budżet kampanii (PLN)"": 7500}"
work_item,Posty sezon siewny #3,,,,2026-10-15,,,,,,,,,,,,,,,,AGRO-003,<p>Zadanie marketingu produktów rolniczych: Posty sezon siewny. Kanał: Online. Budżet orientacyjny 10000 PLN.</p>,Do akceptacji,low,False,EPIK-NASIONA,,"[""Social media""]","[""marketing.agro@example.com""]","{""Kanał dystrybucji"": ""Online"", ""Budżet kampanii (PLN)"": 10000}"
work_item,Stoisko na targach #4,,,2026-04-01,,,,,,,,,,,,,,,,,AGRO-004,<p>Zadanie marketingu produktów rolniczych: Stoisko na targach. Kanał: Event. Budżet orientacyjny 12500 PLN.</p>,Opublikowane,none,False,EPIK-TARGI,,"[""Targi i eventy""]",[],"{""Kanał dystrybucji"": ""Event"", ""Budżet kampanii (PLN)"": 12500}"
work_item,Katalog nawozów 2026 #5,,,,,,,,,,,,,,,,,,,,AGRO-005,<p>Zadanie marketingu produktów rolniczych: Katalog nawozów 2026. Kanał: Druk. Budżet orientacyjny 15000 PLN.</p>,Wstrzymane,urgent,False,EPIK-NAWOZY,,"[""Nawozy""]",[],"{""Kanał dystrybucji"": ""Druk"", ""Budżet kampanii (PLN)"": 15000}"
work_item,Film instruktażowy oprysku #6,,,2026-04-01,2026-10-15,,,,,,,,,,,,,,,,AGRO-006,<p>Zadanie marketingu produktów rolniczych: Film instruktażowy oprysku. Kanał: Online. Budżet orientacyjny 17500 PLN.</p>,Pomysł,high,False,EPIK-SOR,,"[""Środki ochrony""]","[""marketing.agro@example.com""]","{""Kanał dystrybucji"": ""Online"", ""Budżet kampanii (PLN)"": 17500}"
work_item,Mailing do gospodarstw #7,,,,,,,,,,,,,,,,,,,,AGRO-007,<p>Zadanie marketingu produktów rolniczych: Mailing do gospodarstw. Kanał: Online. Budżet orientacyjny 20000 PLN.</p>,Brief,medium,False,EPIK-NASIONA,Kampania,"[""Nasiona""]",[],"{""Kanał dystrybucji"": ""Online"", ""Budżet kampanii (PLN)"": 20000, ""Sezon marketingowy"": ""Jesień""}"
work_item,Plakat POS w sklepach #8,,,2026-04-01,,,,,,,,,,,,,,,,,AGRO-008,<p>Zadanie marketingu produktów rolniczych: Plakat POS w sklepach. Kanał: Druk. Budżet orientacyjny 22500 PLN.</p>,W realizacji,low,False,EPIK-TARGI,,"[""Materiały POS""]","[""nieistniejacy.rolnik@example.com""]","{""Kanał dystrybucji"": ""Druk"", ""Budżet kampanii (PLN)"": 22500}"
work_item,Webinar dla doradców #9,,,,2026-10-15,,,,,,,,,,,,,,,,AGRO-009,<p>Zadanie marketingu produktów rolniczych: Webinar dla doradców. Kanał: Event. Budżet orientacyjny 25000 PLN.</p>,Do akceptacji,none,False,EPIK-NAWOZY,,"[""Targi i eventy""]","[""marketing.agro@example.com""]","{""Kanał dystrybucji"": ""Event"", ""Budżet kampanii (PLN)"": 25000}"
work_item,Brief kampanii display #10,,,2026-04-01,,,,,,,,,,,,,,,,,AGRO-010,<p>Zadanie marketingu produktów rolniczych: Brief kampanii display. Kanał: Online. Budżet orientacyjny 2500 PLN.</p>,Opublikowane,urgent,False,EPIK-SOR,,"[""Social media""]",[],"{""Kanał dystrybucji"": ""Online"", ""Budżet kampanii (PLN)"": 2500}"
work_item,Kreacja banera produktowego #11,,,,,,,,,,,,,,,,,,,,AGRO-011,<p>Zadanie marketingu produktów rolniczych: Kreacja banera produktowego. Kanał: Online. Budżet orientacyjny 5000 PLN.</p>,Wstrzymane,high,False,EPIK-NASIONA,,"[""Social media""]",[],"{""Kanał dystrybucji"": ""Online"", ""Budżet kampanii (PLN)"": 5000}"
work_item,Ulotka dla dealerów #12,,,2026-04-01,2026-10-15,,,,,,,,,,,,,,,,AGRO-012,<p>Zadanie marketingu produktów rolniczych: Ulotka dla dealerów. Kanał: Dealer. Budżet orientacyjny 7500 PLN.</p>,Pomysł,medium,False,EPIK-TARGI,,"[""Materiały POS""]","[""marketing.agro@example.com""]","{""Kanał dystrybucji"": ""Dealer"", ""Budżet kampanii (PLN)"": 7500}"
work_item,Posty sezon siewny #13,,,,,,,,,,,,,,,,,,,,AGRO-013,<p>Zadanie marketingu produktów rolniczych: Posty sezon siewny. Kanał: Online. Budżet orientacyjny 10000 PLN.</p>,Brief,low,False,EPIK-NAWOZY,,"[""Social media""]",[],"{""Kanał dystrybucji"": ""Online"", ""Budżet kampanii (PLN)"": 10000}"
work_item,Stoisko na targach #14,,,2026-04-01,,,,,,,,,,,,,,,,,AGRO-014,<p>Zadanie marketingu produktów rolniczych: Stoisko na targach. Kanał: Event. Budżet orientacyjny 12500 PLN.</p>,W realizacji,none,False,EPIK-SOR,Kampania,"[""Targi i eventy""]",[],"{""Kanał dystrybucji"": ""Event"", ""Budżet kampanii (PLN)"": 12500, ""Sezon marketingowy"": ""Całoroczny""}"
work_item,Katalog nawozów 2026 #15,,,,2026-10-15,,,,,,,,,,,,,,,,AGRO-015,<p>Zadanie marketingu produktów rolniczych: Katalog nawozów 2026. Kanał: Druk. Budżet orientacyjny 15000 PLN.</p>,Do akceptacji,urgent,False,EPIK-NASIONA,,"[""Nawozy""]","[""marketing.agro@example.com""]","{""Kanał dystrybucji"": ""Druk"", ""Budżet kampanii (PLN)"": 15000}"
work_item,Film instruktażowy oprysku #16,,,2026-04-01,,,,,,,,,,,,,,,,,AGRO-016,<p>Zadanie marketingu produktów rolniczych: Film instruktażowy oprysku. Kanał: Online. Budżet orientacyjny 17500 PLN.</p>,Opublikowane,high,False,EPIK-TARGI,,"[""Środki ochrony""]","[""nieistniejacy.rolnik@example.com""]","{""Kanał dystrybucji"": ""Online"", ""Budżet kampanii (PLN)"": 17500}"
work_item,Mailing do gospodarstw #17,,,,,,,,,,,,,,,,,,,,AGRO-017,<p>Zadanie marketingu produktów rolniczych: Mailing do gospodarstw. Kanał: Online. Budżet orientacyjny 20000 PLN.</p>,Wstrzymane,medium,False,EPIK-NAWOZY,,"[""Nasiona""]",[],"{""Kanał dystrybucji"": ""Online"", ""Budżet kampanii (PLN)"": 20000}"
work_item,Plakat POS w sklepach #18,,,2026-04-01,2026-10-15,,,,,,,,,,,,,,,,AGRO-018,<p>Zadanie marketingu produktów rolniczych: Plakat POS w sklepach. Kanał: Druk. Budżet orientacyjny 22500 PLN.</p>,Pomysł,low,False,EPIK-SOR,,"[""Materiały POS""]","[""marketing.agro@example.com""]","{""Kanał dystrybucji"": ""Druk"", ""Budżet kampanii (PLN)"": 22500}"
work_item,Webinar dla doradców #19,,,,,,,,,,,,,,,,,,,,AGRO-019,<p>Zadanie marketingu produktów rolniczych: Webinar dla doradców. Kanał: Event. Budżet orientacyjny 25000 PLN.</p>,Brief,none,False,EPIK-NASIONA,,"[""Targi i eventy""]",[],"{""Kanał dystrybucji"": ""Event"", ""Budżet kampanii (PLN)"": 25000}"
work_item,Brief kampanii display #20,,,2026-04-01,,,,,,,,,,,,,,,,,AGRO-020,<p>Zadanie marketingu produktów rolniczych: Brief kampanii display. Kanał: Online. Budżet orientacyjny 2500 PLN.</p>,W realizacji,urgent,False,EPIK-TARGI,,"[""Social media""]",[],"{""Kanał dystrybucji"": ""Online"", ""Budżet kampanii (PLN)"": 2500}"
work_item,Kreacja banera produktowego #21,,,,2026-10-15,,,,,,,,,,,,,,,,AGRO-021,<p>Zadanie marketingu produktów rolniczych: Kreacja banera produktowego. Kanał: Online. Budżet orientacyjny 5000 PLN.</p>,Do akceptacji,high,False,EPIK-NAWOZY,Kampania,"[""Social media""]","[""marketing.agro@example.com""]","{""Kanał dystrybucji"": ""Online"", ""Budżet kampanii (PLN)"": 5000, ""Sezon marketingowy"": ""Lato""}"
work_item,Ulotka dla dealerów #22,,,2026-04-01,,,,,,,,,,,,,,,,,AGRO-022,<p>Zadanie marketingu produktów rolniczych: Ulotka dla dealerów. Kanał: Dealer. Budżet orientacyjny 7500 PLN.</p>,Opublikowane,medium,False,EPIK-SOR,,"[""Materiały POS""]",[],"{""Kanał dystrybucji"": ""Dealer"", ""Budżet kampanii (PLN)"": 7500}"
