row_type,Name,Identifier,Description,Start Date,Target Date,Network,Cycle View,Module View,Issue Views View,Page View,Intake View,Is Time Tracking Enabled,Is Issue Type Enabled,Guest View All Features,Epic Enabled,State Templates,Label Templates,Task Custom Properties,Epic Custom Properties,Additional Work Item Types,External Key,Description Html,State,Priority,Is Draft,Parent External Key,Issue Type,Labels,Assignee Emails,Custom Properties
project,IT Helpdesk i utrzymanie,ITHELP,"Zgłoszenia użytkowników, awarie stanowisk, onboarding sprzętu i utrzymanie sieci biurowej.",2026-01-01,2026-12-31,2,True,True,True,True,True,False,True,False,True,"[{""name"": ""Nowe"", ""group"": ""backlog"", ""color"": ""#60646C"", ""default"": true}, {""name"": ""W kolejce"", ""group"": ""unstarted"", ""color"": ""#3B82F6""}, {""name"": ""W trakcie"", ""group"": ""started"", ""color"": ""#F59E0B""}, {""name"": ""Oczekuje na usera"", ""group"": ""started"", ""color"": ""#8B5CF6""}, {""name"": ""Rozwiązane"", ""group"": ""completed"", ""color"": ""#46A758""}, {""name"": ""Anulowane"", ""group"": ""cancelled"", ""color"": ""#EF4444""}]","[{""name"": ""Hardware"", ""color"": ""#0EA5E9""}, {""name"": ""Software"", ""color"": ""#6366F1""}, {""name"": ""Sieć"", ""color"": ""#14B8A6""}, {""name"": ""Dostęp"", ""color"": ""#F97316""}, {""name"": ""Drukarka"", ""color"": ""#A855F7""}, {""name"": ""Pilne"", ""color"": ""#DC2626""}]","[{""title"": ""Lokalizacja"", ""property_type"": ""dropdown"", ""options"": [""Biuro A"", ""Biuro B"", ""Remote"", ""Magazyn""], ""select_mode"": ""single"", ""is_mandatory"": true, ""is_active"": true}, {""title"": ""Numer inwentarzowy"", ""property_type"": ""text"", ""is_mandatory"": false, ""is_active"": true}, {""title"": ""Czas rozwiązania (h)"", ""property_type"": ""number"", ""is_mandatory"": false, ""is_active"": true}]","[{""title"": ""Obszar IT"", ""property_type"": ""dropdown"", ""options"": [""Endpoint"", ""Infra"", ""Tożsamość"", ""Aplikacje""], ""select_mode"": ""single"", ""is_mandatory"": false, ""is_active"": true}]","[{""name"": ""Incydent"", ""description"": ""Awaria wpływająca na pracę użytkownika"", ""custom_properties"": [{""title"": ""Wpływ"", ""property_type"": ""dropdown"", ""options"": [""Jeden użytkownik"", ""Zespół"", ""Cała firma""], ""select_mode"": ""single"", ""is_mandatory"": true, ""is_active"": true}]}, {""name"": ""Zmiana"", ""description"": ""Planowana zmiana konfiguracji"", ""custom_properties"": []}]",,,,,,,,,,
work_item,Onboarding sprzętowy Q1,,,2026-01-15,2026-06-30,,,,,,,,,,,,,,,,EPIK-ONBOARD,<p>Epik obejmujący zgłoszenia z obszaru: Endpoint.</p>,W trakcie,high,False,,Epic,"[""Hardware""]","[""helpdesk.lead@example.com"", ""network.admin@example.com""]","{""Obszar IT"": ""Endpoint""}"
work_item,Stabilizacja sieci biurowej,,,2026-01-15,2026-06-30,,,,,,,,,,,,,,,,EPIK-NET,<p>Epik obejmujący zgłoszenia z obszaru: Infra.</p>,W trakcie,high,False,,Epic,"[""Sieć""]",[],"{""Obszar IT"": ""Infra""}"
work_item,Uporządkowanie dostępów i haseł,,,2026-01-15,2026-06-30,,,,,,,,,,,,,,,,EPIK-ID,<p>Epik obejmujący zgłoszenia z obszaru: Tożsamość.</p>,W trakcie,high,False,,Epic,"[""Dostęp""]",[],"{""Obszar IT"": ""Tożsamość""}"
work_item,Standaryzacja aplikacji biurowych,,,2026-01-15,2026-06-30,,,,,,,,,,,,,,,,EPIK-APPS,<p>Epik obejmujący zgłoszenia z obszaru: Aplikacje.</p>,W trakcie,high,False,,Epic,"[""Software""]","[""onboarding@example.com""]","{""Obszar IT"": ""Aplikacje""}"
work_item,Laptop nie startuje #1,,,,,,,,,,,,,,,,,,,,WI-001,<p>Zgłoszenie helpdesk: Laptop nie startuje. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0001.</p>,Nowe,high,False,EPIK-ONBOARD,Incydent,"[""Hardware"", ""Pilne""]",[],"{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1001"", ""Wpływ"": ""Zespół""}"
work_item,Brak dostępu do VPN #2,,,2026-02-01,,,,,,,,,,,,,,,,,WI-002,<p>Zgłoszenie helpdesk: Brak dostępu do VPN. Lokalizacja: Remote. Numer sprawy wewnętrznej HD-0002.</p>,W kolejce,urgent,False,EPIK-NET,Incydent,"[""Dostęp"", ""Sieć""]",[],"{""Lokalizacja"": ""Remote"", ""Numer inwentarzowy"": ""IT-1002"", ""Wpływ"": ""Cała firma""}"
work_item,Drukarka nie drukuje #3,,,,,,,,,,,,,,,,,,,,WI-003,<p>Zgłoszenie helpdesk: Drukarka nie drukuje. Lokalizacja: Biuro B. Numer sprawy wewnętrznej HD-0003.</p>,W trakcie,medium,False,EPIK-ID,Incydent,"[""Drukarka"", ""Hardware""]","[""nieistniejacy.user@example.com""]","{""Lokalizacja"": ""Biuro B"", ""Numer inwentarzowy"": ""IT-1003"", ""Czas rozwiązania (h)"": 4, ""Wpływ"": ""Jeden użytkownik""}"
work_item,Reset hasła AD #4,,,2026-02-01,2026-03-15,,,,,,,,,,,,,,,,WI-004,<p>Zgłoszenie helpdesk: Reset hasła AD. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0004.</p>,Oczekuje na usera,low,False,EPIK-APPS,Task,"[""Dostęp"", ""Software""]",[],"{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1004""}"
work_item,Instalacja pakietu Office #5,,,,,,,,,,,,,,,,,,,,WI-005,<p>Zgłoszenie helpdesk: Instalacja pakietu Office. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0005.</p>,Rozwiązane,medium,False,EPIK-ONBOARD,Zmiana,"[""Software""]",[],"{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1005""}"
